country,postal_code,region,latitude,longitude,notes
US,99501,AK,61.2116,-149.8761,US_state_cap_city_AK
US,99505,AK,59.8666,-158.5996,US_state_cap_city_AK
US,99546,AK,51.874,-176.634,US_state_cap_pool_AK
US,99553,AK,54.143,-165.7854,US_state_cap_pool_AK
US,99574,AK,60.5362,-145.7534,US_state_cap_pool_AK
US,99585,AK,61.9287,-162.268,US_state_cap_pool_AK
US,99615,AK,57.6036,-153.3751,US_state_cap_city_AK
US,99623,AK,61.5463,-149.5901,US_state_cap_city_AK
US,99627,AK,62.9457,-155.5712,US_state_cap_pool_AK
US,99630,AK,60.3657,-166.2836,US_state_cap_pool_AK
US,99638,AK,52.9381,-168.8678,US_state_cap_pool_AK
US,99647,AK,59.8681,-154.0757,US_state_cap_pool_AK
US,99648,AK,55.9453,-159.2593,US_state_cap_pool_AK
US,99660,AK,57.1842,-170.2764,US_state_cap_pool_AK
US,99689,AK,59.812,-139.5505,US_state_cap_pool_AK
US,99701,AK,64.8378,-147.7164,US_state_cap_city_AK
US,99721,AK,68.1433,-151.7358,US_state_cap_pool_AK
US,99723,AK,71.2346,-156.8174,US_state_cap_pool_AK
US,99742,AK,63.7766,-171.7017,US_state_cap_pool_AK
US,99745,AK,66.0382,-154.2644,US_state_cap_pool_AK
US,99747,AK,70.1319,-143.6239,US_state_cap_pool_AK
US,99749,AK,66.975,-160.4228,US_state_cap_pool_AK
US,99764,AK,62.9617,-141.9372,US_state_cap_pool_AK
US,99766,AK,68.3486,-166.7347,US_state_cap_pool_AK
US,99771,AK,64.3537,-161.1932,US_state_cap_pool_AK
US,99785,AK,65.3342,-166.4786,US_state_cap_pool_AK
US,99788,AK,66.6544,-143.7222,US_state_cap_pool_AK
US,99789,AK,70.1927,-150.9971,US_state_cap_pool_AK
US,99801,AK,58.3628,-134.5294,US_state_cap_city_AK
US,99926,AK,55.1215,-131.579,US_state_cap_pool_AK
US,35201,AL,33.5207,-86.8025,US_warm_major_cities
US,35401,AL,33.1969,-87.5627,US_warm_major_cities
US,35440,AL,33.311,-87.1898,US_warm_coarse_step_2.5
US,35582,AL,34.4513,-88.1129,US_state_min_fill_AL
US,35801,AL,34.7269,-86.5673,US_warm_major_cities
US,36101,AL,32.357,-86.2578,US_warm_major_cities
US,36310,AL,31.5755,-85.279,US_warm_coarse_step_2.5
US,36601,AL,30.6944,-88.0431,US_warm_major_cities
US,36915,AL,31.9879,-88.3367,US_state_min_fill_AL
US,71631,AR,33.5497,-92.2604,US_grid_step_1.6_nonwarm
US,71826,AR,33.107,-93.6275,US_grid_step_1.6_nonwarm
US,72001,AR,35.047,-92.9033,US_grid_step_1.6_nonwarm
US,72002,AR,34.6313,-92.4727,US_grid_step_1.6_nonwarm
US,72012,AR,35.0937,-91.9074,US_midlat_extra_step_1.1_lat35_40
US,72311,AR,34.7195,-90.8969,US_grid_step_1.6_nonwarm
US,72322,AR,35.0562,-90.8288,US_midlat_extra_step_1.1_lat35_40
US,72410,AR,35.9423,-91.081,US_grid_step_1.6_nonwarm
US,72513,AR,36.2201,-91.6421,US_grid_step_1.6_nonwarm
US,72611,AR,36.2998,-93.2792,US_midlat_extra_step_1.1_lat35_40
US,72820,AR,35.41,-93.7286,US_grid_step_1.6_nonwarm
US,72826,AR,35.1304,-93.7116,US_midlat_extra_step_1.1_lat35_40
US,85119,AZ,33.4001,-111.5028,US_grid_step_1.6_nonwarm
US,85320,AZ,33.9186,-113.2134,US_grid_step_1.6_nonwarm
US,85321,AZ,32.2295,-112.6542,US_grid_step_1.6_nonwarm
US,85341,AZ,31.8826,-112.8157,US_grid_step_1.6_nonwarm
US,85602,AZ,31.9883,-110.2941,US_grid_step_1.6_nonwarm
US,85605,AZ,32.3265,-109.487,US_grid_step_1.6_nonwarm
US,85645,AZ,31.6723,-111.0986,US_grid_step_1.6_nonwarm
US,85920,AZ,33.8279,-109.1283,US_grid_step_1.6_nonwarm
US,86001,AZ,35.1859,-111.662,US_midlat_extra_step_1.1_lat35_40
US,86015,AZ,35.2381,-111.8335,US_grid_step_1.6_nonwarm
US,86021,AZ,36.9903,-112.9758,US_midlat_extra_step_1.1_lat35_40
US,86030,AZ,35.9278,-110.6729,US_midlat_extra_step_1.1_lat35_40
US,86033,AZ,36.6883,-110.2652,US_midlat_extra_step_1.1_lat35_40
US,86040,AZ,36.9147,-111.4558,US_midlat_extra_step_1.1_lat35_40
US,86047,AZ,35.0242,-110.6974,US_midlat_extra_step_1.1_lat35_40
US,86320,AZ,35.215,-112.5027,US_grid_step_1.6_nonwarm
US,86322,AZ,34.5697,-111.8551,US_grid_step_1.6_nonwarm
US,86334,AZ,35.0313,-112.5441,US_midlat_extra_step_1.1_lat35_40
US,86401,AZ,35.1328,-113.7033,US_midlat_extra_step_1.1_lat35_40
US,86429,AZ,35.1715,-114.5386,US_midlat_extra_step_1.1_lat35_40
US,86431,AZ,35.3896,-114.2221,US_midlat_extra_step_1.1_lat35_40
US,86520,AZ,36.1708,-109.9465,US_grid_step_1.6_nonwarm
US,91301,CA,34.1227,-118.7573,US_grid_step_1.6_nonwarm
US,92225,CA,33.6103,-114.5963,US_grid_step_1.6_nonwarm
US,92226,CA,33.5987,-114.6525,US_grid_step_1.6_nonwarm
US,92304,CA,34.5578,-115.7444,US_grid_step_1.6_nonwarm
US,92309,CA,35.3606,-116.0638,US_midlat_extra_step_1.1_lat35_40
US,92536,CA,33.4473,-116.7997,US_grid_step_1.6_nonwarm
